fpr,tpr,threshold
0.348,0.9862579281183932,0.06260709369891428
0.382,0.9862579281183932,0.05614222351847032
0.382,0.9883720930232558,0.05591417722063776
0.445,0.9883720930232558,0.0445868247669802
0.445,0.9894291754756871,0.04422571023556264
0.476,0.9894291754756871,0.03585247530741094
0.476,0.9904862579281184,0.035849120640073846
0.506,0.9904862579281184,0.031178410944682253
0.506,0.9915433403805497,0.031140063373582248
0.507,0.9915433403805497,0.031110644355248542
0.507,0.992600422832981,0.030976275689227808
0.547,0.992600422832981,0.028338888504591223
0.547,0.9936575052854123,0.028331917224366895
0.597,0.9936575052854123,0.025051824308195494
0.597,0.9947145877378436,0.02503828009231315
0.6,0.9947145877378436,0.024840032067596083
0.6,0.9957716701902748,0.024839270407804117
0.624,0.9957716701902748,0.024345364015063892
0.624,0.9968287526427061,0.024312591890034894
0.641,0.9968287526427061,0.023548155067429532
0.641,0.9978858350951374,0.02353794116579559
0.697,0.9978858350951374,0.021180813250871195
0.697,0.9989429175475687,0.021162418007326426
0.73,0.9989429175475687,0.02015904567528811
0.73,1.0,0.020137737292514488
0.912,1.0,0.015213949187311872
0.914,1.0,0.015168710497841185
1.0,1.0,0.009963930407647535
